Position;Rank;Name;Uri;ImageUri;Industry;Country;Revenue;MarketValue;Headquarters;Ceo;Profits;Assets;State;SquareImage;Thumbnail
1574;1574;360 Security Technology;360-security-technology;no-pic;Software & Programming;China;321,0;39253,0;China;Hong Zhou;10,0;3637,0;;;
214;214;3M;3m;3m;Conglomerates;United States;32250,0;121802,0;Minnesota;Inge Thulin;4137,0;38575,0;Minnesota;;
1252;1252;3i Group;3i-group;3i-group;Investment Services;United Kingdom;353,0;12940,0;United Kingdom;Simon Borrows;1535,3;9641,0;;;
1618;1618;77 Bank;77-bank;77-bank;Regional Banks;Japan;898,0;1840,0;Japan;Hiroshi Kamata;188,5;75939,0;;;
1296;1296;AAC Technologies Holdings;aac-technologies-holdings;aac-technologies-holdings;Electronics;China;3137,0;18945,0;China;Benjamin Pan;791,2;4718,0;;http://specials-images.forbesimg.com/imageserve/57aa09f1a7ea4337c2cf82a8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/57aa09f1a7ea4337c2cf82a8/280x425.jpg?fit=scale&background=000000
264;264;ABB;abb;abb;Conglomerates;Switzerland;35037,0;51263,0;Switzerland;Ulrich Spiesshofer;2057,2;43570,0;;;
1479;1479;AECOM Technology;aecom-technology;aecom-technology;Construction Services;United States;19120,0;5331,0;California;Michael Burke;181,4;14617,0;California;;
1142;1142;AES;aes;aes;Electric Utilities;United States;12474,0;8129,0;Virginia;Andrés Ricardo Weilert;158,0;32573,0;Virginia;;
1172;1172;AGL Energy;agl-energy;agl-energy;Electric Utilities;Australia;9968,0;10867,0;Australia;Andy Vesey;640,8;11229,0;;;
1028;1028;AGNC Investment;agnc-investment;agnc-investment;Investment Services;United States;2196,0;7435,0;Maryland;Gary Kain;1119,0;69221,0;Maryland;;
92;92;AIA Group;aia-group;aia-group;Life & Health Insurance;Hong Kong;31917,0;111406,0;Hong Kong;Ng Keng Hooi;6120,5;213210,0;;;
101;101;AIRBUS;airbus;airbus;Aerospace & Defense;Netherlands;74672,0;92149,0;Netherlands;Thomas Enders;2976,5;138333,0;;;
1377;1377;ALFA;alfa;alfa;Conglomerates;Mexico;17397,0;5814,0;Mexico;Armando Sada;-86,6;19120,0;;;
762;762;AMP;amp;amp;Investment Services;Australia;12751,0;8121,0;Australia;Mike Wilkins;650,0;115825,0;;;
104;104;ANZ;anz;anz;Major Banks;Australia;28739,0;61245,0;Australia;Shayne Elliott;5272,9;717290,0;;;
451;451;ASML Holding;asml-holding;asml-holding;Semiconductors;Netherlands;10978,0;85378,0;Netherlands;Peter Wennink;2692,5;22930,0;;;
15;15;AT&T;att;att;Telecommunications services;United States;159219,0;198293,0;Texas;Randall Stephenson;30643,0;446343,0;Texas;//specials-images.forbesimg.com/imageserve/5c13d425a7ea4370591a5bd0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5c13d425a7ea4370591a5bd0/280x425.jpg?fit=scale&background=000000
859;858;ATOS;atos;atos;Computer Services;France;14315,0;13904,0;France;Thierry Breton;677,5;16192,0;;;
1116;1116;AU Optronics;au-optronics;au-optronics;Electronics;Taiwan;11210,0;4091,0;Taiwan;Shuang Peng;1063,7;14834,0;;;
1433;1433;AVIC Capita;avic-capita;no-pic;Investment Services;China;1910,0;7723,0;China;Hong Zhao;459,4;36182,0;;;
33;33;AXA Group;axa-group;axa-group;Diversified Insurance;France;149895,0;64058,0;France;Thomas Buberl;6745,0;1029142,0;;;
1748;1748;Aareal Bank;aareal-bank;aareal-bank;Thrifts & Mortgage Finance;Germany;1146,0;3011,0;Germany;Hermann Merkens;224,4;50979,0;;;
137;137;AbbVie;abbvie;abbvie;Pharmaceuticals;United States;29612,0;165321,0;Illinois;Richard Gonzalez;6352,0;69342,0;Illinois;;
421;421;Abbott Laboratories;abbott-laboratories;abbott-laboratories;Pharmaceuticals;United States;28445,0;107400,0;Illinois;Miles White;466,0;70908,0;Illinois;;
1480;1480;Abengoa;abengoa;abengoa;Construction Services;Spain;1669,0;255,0;Spain;Joaquin Marin;4825,0;7635,0;;;
766;766;Abertis;abertis;abertis;Other Transportation;Spain;5922,0;19870,0;Spain;Francisco Navarro;1012,2;35821,0;;;
1959;1959;Abiomed;abiomed;abiomed;Medical Equipment & Supplies;United States;594,0;16538,0;Massachusetts;Michael Minogue;112,2;786,0;Massachusetts;;
833;833;Abitare In Spa;abitare-in;no-pic;Real Estate;Italy;21546,0;69,0;Italy;Luigi Gozzini;918,5;32669,0;;;
930;930;Abu Dhabi Commercial Bank;abu-dhabi-commercial;abu-dhabi-commercial;Regional Banks;United Arab Emirates;3500,0;9656,0;United Arab Emirates;Ala'a Khalil Eraiqat;1148,0;72597,0;;;
1489;1489;Abu Dhabi Islamic Bank;abu-dhabi-islamic-bank;abu-dhabi-islamic-bank;Regional Banks;United Arab Emirates;1824,0;3295,0;United Arab Emirates;Khamis Al-Shamsi;544,1;33795,0;;;
288;288;Accenture;accenture;accenture;Computer Services;Ireland;39120,0;101016,0;Ireland;Pierre Nanterme;3589,0;23133,0;;//specials-images.forbesimg.com/imageserve/5a32a4a031358e6e1b1d6ecf/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5a32a4a031358e6e1b1d6ecf/280x425.jpg?fit=scale&background=000000
1643;1643;Acciona;acciona;acciona;Construction Services;Spain;8182,0;4588,0;Spain;José Entrecanales;248,3;20591,0;;;
1431;1431;Accor;accor;accor;Hotels & Motels;France;2185,0;16052,0;France;Sébastien Bazin;455,7;14501,0;;;
997;997;Activision Blizzard;activision-blizzard;activision-blizzard;Recreational Products;United States;7257,0;54578,0;California;Robert Kotick;347,0;18397,0;California;;
1605;1605;Adani Ports & Special Economic Zone;adani-ports-special-economic-zone;no-pic;Other Transportation;India;1756,0;12669,0;India;Mrithyunjay Chandilya;561,0;7264,0;;;
866;866;Adecco;adecco;adecco;Business & Personal Services;Switzerland;27631,0;10971,0;Switzerland;Alain Dehaze;869,4;12531,0;;//specials-images.forbesimg.com/imageserve/5ba5573f4bbe6f79516f6172/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5ba5573f4bbe6f79516f6172/280x425.jpg?fit=scale&background=000000
457;457;Adidas;adidas;adidas;Apparel/Accessories;Germany;24914,0;46154,0;Germany;Kasper Rørsted;1671,1;18208,0;;//specials-images.forbesimg.com/imageserve/5801250831358e6da6d7fa36/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/580a34b431358e238315ebe2/280x425.jpg?fit=scale&background=000000
1567;1567;Adient;adient;no-pic;Auto & Truck Parts;Ireland;16796,0;5214,0;Ireland;Robert McDonald;164,0;13089,0;;;
